experiment,map_id,seed,apf_valid,ral_valid,delta_runtime,delta_length,delta_turning,delta_clearance
random,D2_51004,8004,1,1,0.2858894099999816,-76.3379237544176,-0.015977232659116197,-2.4315376673677194
random,D2_51005,8005,1,1,0.41866684500041634,0.4080345943566499,-0.008801798696763799,-3.9140167132044468
random,D2_51006,8006,1,1,0.4508654649998789,-31.4074927350066,-0.005819856155878301,5.260966322542831
random,D2_51007,8007,1,1,0.43380031800029434,-25.098789222012897,-0.022648511986119998,1.2283070396457205
random,D2_51008,8008,1,1,0.2917609159999302,11.385237298532388,0.015631801431252503,-0.21179549859970592
random,D2_51009,8009,1,1,0.410585753000305,4.829308375116966,0.004401280554766499,-0.618378936093599
random,D2_51010,8010,1,1,0.6238817680002741,-42.94568890748121,-0.0281507544146067,-1.0177933955198153
random,D2_51011,8011,1,1,0.4014133060002223,-0.47190991613933875,0.0396575449905342,-2.0211307372832508
random,D2_51012,8012,1,1,0.4492832719997751,70.4755092602652,0.027289758198611597,-2.2990622197620247
random,D2_51013,8013,1,1,0.367011421000143,0.11614054490337367,0.004681515516071499,-0.24878815405667232
random,D2_51014,8014,1,1,0.39951930999995966,-52.49540062273297,-0.023105840439868203,0.2789417547241566
random,D3_52000,8000,1,1,0.5525533449999784,-33.49913095592376,-0.0050130000146449,-0.22759857482547124
random,D3_52001,8001,1,1,0.4031997810000121,27.796587762458216,0.0338912281576482,-0.45907639862595684
random,D3_52002,8002,1,1,0.6580539009999029,-12.9292377248795,-0.016137149142183005,1.2320425949864937
random,D3_52003,8003,1,1,0.3367992819999018,-70.93369357152551,-0.020855054068127602,0.45772216748860484
random,D3_52004,8004,1,1,0.40377814399971623,-7.718869172123959,-0.0084943858783747,0.8493277664018901
random,D3_52005,8005,1,1,0.3942189569995663,-3.4483729583923832,0.005785600117372501,0.05143653883670796
random,D3_52006,8006,1,1,0.35198424899999736,-23.299934996516072,0.006062411273529595,-3.3355278991063635
random,D3_52007,8007,1,1,0.4007133839998005,-46.48030905517669,-0.011706596961247602,-0.795950340207627
random,D3_52008,8008,1,1,0.5704567300003873,-6.2237332366750024,0.012013864497080001,0.5333877979572677
random,D3_52009,8009,1,1,0.43461288100002093,-11.213717002185831,-0.0002865520431243017,-2.130611629908387
random,D3_52010,8010,1,1,0.6007613480001055,7.117185687978576,-0.00015021268591090126,-0.13736859289116055
random,D3_52011,8011,1,1,0.43669859700025887,-3.5606920797308703,0.0137682245051283,-2.9168730677170274
random,D3_52012,8012,1,1,0.5209753919998548,-41.76129625878684,-0.017937844996709498,-0.9730550028020932
random,D3_52013,8013,1,1,0.4548293159998594,1.776322732965582,-0.013360256077176499,1.8785361936193898
random,D3_52014,8014,1,1,0.4963634779999211,-5.469402450393204,0.000409991606090801,0.018531597546225242
random,Narrow_53000,8000,0,1,0.7230256250002183,,,
random,Narrow_53001,8001,0,1,0.8081870369999251,,,
random,Narrow_53002,8002,1,1,0.3714326750002783,20.797139544653874,-0.0021709581561250996,-0.6486452168996379
random,Narrow_53003,8003,0,0,1.3198013799999444,,,
random,Narrow_53004,8004,0,1,0.5810696360003931,,,
random,Narrow_53005,8005,0,0,1.1287227519997032,,,
random,Narrow_53006,8006,0,1,1.2787404629996217,,,
random,Narrow_53007,8007,0,0,1.0423657979999916,,,
random,Narrow_53008,8008,0,1,0.5865415229998234,,,
random,Narrow_53009,8009,0,1,0.1753414060001433,,,
random,Narrow_53010,8010,0,0,1.1884941969997271,,,
random,Narrow_53011,8011,0,1,0.6999605150001571,,,
random,Narrow_53012,8012,0,0,1.2199520189999475,,,
random,Narrow_53013,8013,0,0,1.0418452330000036,,,
random,Narrow_53014,8014,0,1,0.4860057700000198,,,
